Date,Bookmaker,Home Team,Away Team,Outcome,Odds
2024-12-03T19:16:00Z,Bovada,Panathinaikos,FC Barcelona Bàsquet,FC Barcelona Bàsquet,3.25
2024-12-03T19:16:00Z,Bovada,Panathinaikos,FC Barcelona Bàsquet,Panathinaikos,1.32
2024-12-03T19:30:00Z,Bovada,Saski Baskonia,Fenerbahce SK,Fenerbahce SK,5.75
2024-12-03T19:30:00Z,Bovada,Saski Baskonia,Fenerbahce SK,Saski Baskonia,1.12
2024-12-03T19:30:00Z,DraftKings,KK Partizan NIS,Žalgiris,KK Partizan NIS,1.29
2024-12-03T19:30:00Z,DraftKings,KK Partizan NIS,Žalgiris,Žalgiris,3.5
2024-12-03T19:30:00Z,Bovada,KK Partizan NIS,Žalgiris,KK Partizan NIS,1.3
2024-12-03T19:30:00Z,Bovada,KK Partizan NIS,Žalgiris,Žalgiris,3.4
2024-12-03T23:30:00Z,BetOnline.ag,Butler Bulldogs,Eastern Illinois Panthers,Butler Bulldogs,1.02
2024-12-03T23:30:00Z,BetOnline.ag,Butler Bulldogs,Eastern Illinois Panthers,Eastern Illinois Panthers,16.0
2024-12-03T23:30:00Z,LowVig.ag,Butler Bulldogs,Eastern Illinois Panthers,Butler Bulldogs,1.02
2024-12-03T23:30:00Z,LowVig.ag,Butler Bulldogs,Eastern Illinois Panthers,Eastern Illinois Panthers,16.0
2024-12-03T23:30:00Z,FanDuel,Butler Bulldogs,Eastern Illinois Panthers,Butler Bulldogs,1.01
2024-12-03T23:30:00Z,FanDuel,Butler Bulldogs,Eastern Illinois Panthers,Eastern Illinois Panthers,21.0
2024-12-03T23:30:00Z,DraftKings,Butler Bulldogs,Eastern Illinois Panthers,Butler Bulldogs,1.02
2024-12-03T23:30:00Z,DraftKings,Butler Bulldogs,Eastern Illinois Panthers,Eastern Illinois Panthers,18.0
2024-12-03T23:30:00Z,BetMGM,Butler Bulldogs,Eastern Illinois Panthers,Butler Bulldogs,1.01
2024-12-03T23:30:00Z,BetMGM,Butler Bulldogs,Eastern Illinois Panthers,Eastern Illinois Panthers,17.5
2024-12-03T23:30:00Z,MyBookie.ag,Butler Bulldogs,Eastern Illinois Panthers,Butler Bulldogs,1.01
2024-12-03T23:30:00Z,MyBookie.ag,Butler Bulldogs,Eastern Illinois Panthers,Eastern Illinois Panthers,15.76
2024-12-03T23:30:00Z,BetRivers,Butler Bulldogs,Eastern Illinois Panthers,Butler Bulldogs,1.03
2024-12-03T23:30:00Z,BetRivers,Butler Bulldogs,Eastern Illinois Panthers,Eastern Illinois Panthers,13.0
2024-12-03T23:30:00Z,BetOnline.ag,Villanova Wildcats,Cincinnati Bearcats,Cincinnati Bearcats,1.6
2024-12-03T23:30:00Z,BetOnline.ag,Villanova Wildcats,Cincinnati Bearcats,Villanova Wildcats,2.47
